,feature,comp1,comp2,index,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
0,modulation,2.5-5_NSD,2.5-5_SD,T-test,-0.13929531650509347,13.452236156042524,two-sided,0.8912806598349818,[-2.04  1.79],0.06964765825254673,0.43,0.05193868656402173
1,modulation,0-2.5_NSD,0-2.5_SD,T-test,-0.4186724187643529,13.521612058414847,two-sided,0.6820294907123294,[-1.98  1.34],0.20933620938217645,0.454,0.06766576084665933
2,modulation,5-7.5_NSD,5-7.5_SD,T-test,0.7565696914698163,10.158812480415557,two-sided,0.4664910662602474,[-1.26  2.55],0.3782848457349081,0.519,0.10873826840433584
3,modulation,0-2.5_NSD,5-7.5_SD,T-test,0.6661250229173352,11.830565204460814,two-sided,0.5181098069112258,[-1.07  2.  ],0.3330625114586676,0.497,0.0952949055391561
4,modulation,0-2.5_NSD,2.5-5_NSD,T-test,0.24413100545742822,7.0,two-sided,0.8141303550041943,[-0.44  0.54],0.02757276527625634,0.345,0.05052902325627562
5,modulation,2.5-5_NSD,5-7.5_NSD,T-test,-1.4821965410481188,7.0,two-sided,0.18184653833839864,[-0.6   0.14],0.11125760778141748,0.755,0.05864912831139292
6,modulation,0-2.5_NSD,5-7.5_NSD,T-test,-0.5188789304993984,7.0,two-sided,0.6198406920492481,[-1.    0.64],0.09246097731890793,0.376,0.05596552353833712
7,modulation,0-2.5_SD,2.5-5_SD,T-test,0.9099782839506233,7.0,two-sided,0.3930881099996981,[-0.4  0.9],0.16671999367801843,0.469,0.06952164277531243
8,modulation,2.5-5_SD,5-7.5_SD,T-test,1.7124045705563973,7.0,two-sided,0.13055223546443107,[-0.21  1.29],0.4007201741476466,0.947,0.16611316459684952
9,modulation,0-2.5_SD,5-7.5_SD,T-test,2.257411533840268,7.0,two-sided,0.05855449344971953,[-0.04  1.62],0.6395070771887943,1.688,0.34620276983269976
10,peak_prob,2.5-5_NSD,2.5-5_SD,T-test,-0.13929531650509347,13.452236156042524,two-sided,0.8912806598349818,[-2.04  1.79],0.06964765825254673,0.43,0.05193868656402173
11,peak_prob,0-2.5_NSD,0-2.5_SD,T-test,-0.4186724187643529,13.521612058414847,two-sided,0.6820294907123294,[-1.98  1.34],0.20933620938217645,0.454,0.06766576084665933
12,peak_prob,5-7.5_NSD,5-7.5_SD,T-test,0.7565696914698163,10.158812480415557,two-sided,0.4664910662602474,[-1.26  2.55],0.3782848457349081,0.519,0.10873826840433584
13,peak_prob,0-2.5_NSD,5-7.5_SD,T-test,0.6661250229173352,11.830565204460814,two-sided,0.5181098069112258,[-1.07  2.  ],0.3330625114586676,0.497,0.0952949055391561
14,peak_prob,0-2.5_NSD,2.5-5_NSD,T-test,0.24413100545742822,7.0,two-sided,0.8141303550041943,[-0.44  0.54],0.02757276527625634,0.345,0.05052902325627562
15,peak_prob,2.5-5_NSD,5-7.5_NSD,T-test,-1.4821965410481188,7.0,two-sided,0.18184653833839864,[-0.6   0.14],0.11125760778141748,0.755,0.05864912831139292
16,peak_prob,0-2.5_NSD,5-7.5_NSD,T-test,-0.5188789304993984,7.0,two-sided,0.6198406920492481,[-1.    0.64],0.09246097731890793,0.376,0.05596552353833712
17,peak_prob,0-2.5_SD,2.5-5_SD,T-test,0.9099782839506233,7.0,two-sided,0.3930881099996981,[-0.4  0.9],0.16671999367801843,0.469,0.06952164277531243
18,peak_prob,2.5-5_SD,5-7.5_SD,T-test,1.7124045705563973,7.0,two-sided,0.13055223546443107,[-0.21  1.29],0.4007201741476466,0.947,0.16611316459684952
19,peak_prob,0-2.5_SD,5-7.5_SD,T-test,2.257411533840268,7.0,two-sided,0.05855449344971953,[-0.04  1.62],0.6395070771887943,1.688,0.34620276983269976
