,comp1,comp2,test,pval,test_stat,CI95%,Cohen's-d,dof
0,ZT 0-2.5_NSD,ZT 0-2.5_SD,Welch's,2.960e-03,4.139e+00,[0.17 0.59],2.0695229314660692,8.361171261512228
1,PRE_NSD,PRE_SD,Welch's,5.216e-01,-6.574e-01,[-0.14  0.08],0.32871373915035684,13.968698115551259
2,ZT 2.5-5_NSD,ZT 2.5-5_SD,Welch's,5.764e-04,5.273e+00,[0.22 0.56],2.636327027677895,8.681684136195893
3,ZT 5-7.5_NSD,ZT 5-7.5_SD,Welch's,3.164e-06,-7.712e+00,[-0.64 -0.36],3.8561555036117157,13.108313763893005
4,ZT 0-2.5_NSD,ZT 5-7.5_SD,Welch's,2.596e-03,-3.842e+00,[-0.61 -0.17],1.9209893059955003,11.328849520569753
5,ZT 2.5-5_NSD,ZT 5-7.5_NSD,t-test,2.755e-02,2.774e+00,[0.03 0.34],1.1368037820047632,7.0
6,PRE_NSD,ZT 0-2.5_NSD,t-test,5.701e-04,-5.950e+00,[-0.58 -0.25],2.181351713059428,7.0
7,ZT 0-2.5_NSD,ZT 2.5-5_NSD,t-test,5.788e-01,-5.820e-01,[-0.36  0.22],0.32050411835252407,7.0
8,ZT 0-2.5_NSD,ZT 5-7.5_NSD,t-test,3.174e-01,1.076e+00,[-0.13  0.35],0.5735295280496866,7.0
9,PRE_NSD,ZT 2.5-5_NSD,t-test,7.375e-04,-5.697e+00,[-0.68 -0.28],3.101425150570273,7.0
10,PRE_NSD,ZT 5-7.5_NSD,t-test,3.728e-04,-6.384e+00,[-0.41 -0.19],2.856166402341814,7.0
11,PRE_SD,ZT 0-2.5_SD,t-test,9.611e-01,5.050e-02,[-0.08  0.08],0.019135613513138482,7.0
12,ZT 2.5-5_SD,ZT 5-7.5_SD,t-test,2.993e-06,-1.342e+01,[-0.83 -0.58],6.207404153459088,7.0
13,ZT 0-2.5_SD,ZT 2.5-5_SD,t-test,1.697e-02,-3.115e+00,[-0.11 -0.02],0.8584096907201361,7.0
14,PRE_SD,ZT 2.5-5_SD,t-test,1.763e-01,-1.504e+00,[-0.16  0.04],0.6950694866242062,7.0
15,ZT 0-2.5_SD,ZT 5-7.5_SD,t-test,4.499e-07,-1.772e+01,[-0.87 -0.67],6.596454768360703,7.0
16,PRE_SD,ZT 5-7.5_SD,t-test,2.573e-06,-1.372e+01,[-0.9  -0.64],6.074330673961417,7.0
