,comp1,comp2,test,pval,test_stat
0,4-5_NSD,4-5_SD,"get_bootstrap_prob,",7.801e-04,2.851e+00
1,0-1_NSD,0-1_SD,"get_bootstrap_prob,",1.557e-01,1.345e+00
2,5-6_NSD,5-6_SD,"get_bootstrap_prob,",4.394e-01,1.948e-01
3,0-1_NSD,5-6_SD,"get_bootstrap_prob,",2.739e-02,1.987e+00
4,0-1_NSD,4-5_NSD,"get_bootstrap_prob_paired,",1.160e-02,4.696e-02
5,4-5_NSD,5-6_NSD,"get_bootstrap_prob_paired,",2.119e-01,1.966e-02
6,0-1_NSD,5-6_NSD,"get_bootstrap_prob_paired,",1.500e-03,6.662e-02
7,0-1_SD,4-5_SD,"get_bootstrap_prob_paired,",0.000e+00,5.032e-02
8,4-5_SD,5-6_SD,"get_bootstrap_prob_paired,",0.000e+00,-3.311e-02
9,0-1_SD,5-6_SD,"get_bootstrap_prob_paired,",3.180e-01,1.720e-02
