,comp1,comp2,test,pval,test_stat
0,MAZE_NSD,MAZE_SD,"get_bootstrap_prob,",3.143e-01,7.899e-01
1,PRE_NSD,PRE_SD,"get_bootstrap_prob,",1.612e-01,1.462e+00
3,ZT 4-5_NSD,ZT 4-5_SD,"get_bootstrap_prob,",1.292e-01,1.647e+00
4,ZT 5-6_NSD,ZT 5-6_SD,"get_bootstrap_prob,",1.337e-03,3.833e+00
5,ZT 0-1_NSD,ZT 5-6_SD,"get_bootstrap_prob,",4.160e-06,6.386e+00
6,ZT 0-1_NSD,ZT 4-5_NSD,"get_bootstrap_prob_paired,",8.660e-02,1.065e+02
7,PRE_NSD,MAZE_NSD,"get_bootstrap_prob_paired,",1.486e-01,1.621e+02
8,MAZE_NSD,ZT 0-1_NSD,"get_bootstrap_prob_paired,",4.092e-01,3.533e+01
9,ZT 4-5_NSD,ZT 5-6_NSD,"get_bootstrap_prob_paired,",1.268e-01,3.553e+01
12,PRE_NSD,ZT 0-1_NSD,"get_bootstrap_prob_paired,",6.400e-02,1.974e+02
16,PRE_SD,MAZE_SD,"get_bootstrap_prob_paired,",2.264e-01,7.336e+01
17,ZT 0-1_SD,ZT 4-5_SD,"get_bootstrap_prob_paired,",4.180e-02,2.648e+01
18,ZT 4-5_SD,ZT 5-6_SD,"get_bootstrap_prob_paired,",0.000e+00,7.823e+01
19,MAZE_SD,ZT 0-1_SD,"get_bootstrap_prob_paired,",1.170e-01,7.528e+01
20,PRE_SD,ZT 0-1_SD,"get_bootstrap_prob_paired,",1.620e-02,1.486e+02
