,comp1,comp2,test,pval,test_stat,CI95%,Cohen's-d,dof
0,MAZE_NSD,MAZE_SD,Welch's,4.463e-01,8.036e-01,[-0.1  0.2],0.46759725008060127,7.525365320381586
1,PRE_NSD,PRE_SD,Welch's,4.330e-01,-8.265e-01,[-0.22  0.1 ],0.479062114149043,7.829159389341289
2,ZT 0-2.5_NSD,ZT 0-2.5_SD,Welch's,8.369e-01,-2.114e-01,[-0.1   0.08],0.11909140002491449,9.989658744472617
3,ZT 2.5-5_NSD,ZT 2.5-5_SD,Welch's,6.375e-01,-4.845e-01,[-0.09  0.06],0.2663657953391384,10.993081080155418
4,ZT 5-7.5_NSD,ZT 5-7.5_SD,Welch's,4.659e-01,7.595e-01,[-0.1   0.19],0.40390278639401694,9.528734417967575
5,ZT 0-2.5_NSD,ZT 5-7.5_SD,Welch's,6.385e-01,4.853e-01,[-0.11  0.18],0.2580837984927964,9.535043728179923
6,ZT 0-2.5_NSD,ZT 2.5-5_NSD,t-test,6.771e-01,-4.417e-01,[-0.03  0.02],0.07387779458658351,5.0
7,PRE_NSD,MAZE_NSD,t-test,6.835e-01,-4.324e-01,[-0.22  0.16],0.2212614714333325,5.0
8,MAZE_NSD,ZT 0-2.5_NSD,t-test,9.858e-01,1.873e-02,[-0.17  0.17],0.010821768850916952,5.0
9,ZT 2.5-5_NSD,ZT 5-7.5_NSD,t-test,3.963e-01,-9.274e-01,[-0.05  0.02],0.18166388686459647,5.0
10,MAZE_NSD,ZT 2.5-5_NSD,t-test,9.533e-01,-6.161e-02,[-0.16  0.16],0.035483423793934,5.0
11,ZT 0-2.5_NSD,ZT 5-7.5_NSD,t-test,8.257e-02,-2.166e+00,[-0.04  0.  ],0.21976340544412493,5.0
12,PRE_NSD,ZT 0-2.5_NSD,t-test,4.598e-01,-8.005e-01,[-0.13  0.07],0.2595518891386842,5.0
13,PRE_NSD,ZT 2.5-5_NSD,t-test,4.741e-01,-7.737e-01,[-0.16  0.08],0.32178646146664874,5.0
14,MAZE_NSD,ZT 5-7.5_NSD,t-test,8.270e-01,-2.302e-01,[-0.2   0.17],0.1413704417938958,5.0
15,PRE_NSD,ZT 5-7.5_NSD,t-test,2.905e-01,-1.182e+00,[-0.15  0.06],0.40730063123799204,5.0
16,PRE_SD,MAZE_SD,t-test,1.001e-01,1.942e+00,[-0.02  0.17],0.9308479775404184,6.0
17,ZT 0-2.5_SD,ZT 2.5-5_SD,t-test,5.662e-01,-6.069e-01,[-0.06  0.04],0.1853387733559504,6.0
18,ZT 2.5-5_SD,ZT 5-7.5_SD,t-test,2.969e-01,1.142e+00,[-0.06  0.16],0.4634259866801181,6.0
19,MAZE_SD,ZT 0-2.5_SD,t-test,1.865e-01,-1.491e+00,[-0.16  0.04],0.8132716199748724,6.0
20,PRE_SD,ZT 0-2.5_SD,t-test,4.444e-01,8.183e-01,[-0.03  0.07],0.21913174905842306,6.0
21,MAZE_SD,ZT 2.5-5_SD,t-test,7.694e-02,-2.132e+00,[-0.16  0.01],1.0096426739049575,6.0
22,ZT 0-2.5_SD,ZT 5-7.5_SD,t-test,5.069e-01,7.056e-01,[-0.1   0.18],0.350013978852116,6.0
23,PRE_SD,ZT 2.5-5_SD,t-test,8.485e-01,1.995e-01,[-0.06  0.06],0.0640266083723923,6.0
24,MAZE_SD,ZT 5-7.5_SD,t-test,7.414e-01,-3.456e-01,[-0.16  0.12],0.17128787876459284,6.0
25,PRE_SD,ZT 5-7.5_SD,t-test,2.348e-01,1.321e+00,[-0.05  0.16],0.47515068717845876,6.0
