,neuron_type,zt,grp,shapiro_pvalue,skew_pvalue
0,inter,MAZE,NSD,0.0085,0.1564
1,inter,MAZE,SD,0.0164,0.1038
2,inter,PRE,NSD,0.1173,0.3655
3,inter,PRE,SD,0.0562,0.1704
4,inter,ZT 0-2.5,NSD,0.0358,0.2799
5,inter,ZT 0-2.5,SD,0.0396,0.2182
6,inter,ZT 2.5-5,NSD,0.0448,0.396
7,inter,ZT 2.5-5,SD,0.055,0.2826
8,inter,ZT 5-7.5,NSD,0.0606,0.3507
9,inter,ZT 5-7.5,SD,0.2387,0.6348
10,pyr,MAZE,NSD,0.0008,0.0072
11,pyr,MAZE,SD,0.012,0.0724
12,pyr,PRE,NSD,0.0083,0.2115
13,pyr,PRE,SD,0.0049,0.3231
14,pyr,ZT 0-2.5,NSD,0.2524,0.8515
15,pyr,ZT 0-2.5,SD,0.0023,0.0981
16,pyr,ZT 2.5-5,NSD,0.239,0.9253
17,pyr,ZT 2.5-5,SD,0.0271,0.5319
18,pyr,ZT 5-7.5,NSD,0.2528,0.8666
19,pyr,ZT 5-7.5,SD,0.1555,0.7759
